pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
"K2-9 b","TIC 82050863","K2-9",176.2637240,0.0054085,2015,18.44980000000,2.25000000,5.69000000,3390.00,0.310000,0.300000,82.96310000
"WASP-136 b","TIC 176220787","WASP-136",0.3257610,-8.9262512,2016,5.21536178778,16.81347105,479.92089457,6250.00,2.390140,1.410000,275.58700000
"Kepler-1496 b","TIC 270787590","Kepler-1496",293.9739359,45.3507167,2016,64.65880170000,2.22000000,5.56000000,6182.00,1.270000,1.180000,1307.66000000
"Kepler-932 b","TIC 272715773","Kepler-932",296.9520797,43.2720233,2016,1.92143739600,1.37000000,2.45000000,5331.00,0.840000,0.870000,465.61200000
"HD 1605 b","TIC 57983992","HD 1605",5.1317548,30.9750611,2015,577.20000000000,13.80000000,296.85322000,4915.00,3.490000,1.330000,88.80470000
"K2-308 b","TIC 411697517","K2-308",78.3391194,16.4141986,2019,3.38628000000,9.91600000,70.60000000,6100.00,1.240000,1.090000,1314.53000000
"HD 158996 b","TIC 288268410","HD 158996",259.9051092,80.1364033,2018,820.20000000000,12.30000000,4449.62000000,4069.00,50.300000,1.800000,283.65900000
"Kepler-1955 b","TIC 172372582","Kepler-1955",299.5347603,40.4777528,2021,14.26519966000,1.16654878,1.69000000,5825.00,1.291000,1.049000,449.35100000
"Kepler-322 c","TIC 123313142","Kepler-322",281.3487514,44.2952525,2014,4.33723400000,1.67000000,3.43000000,5388.00,0.890000,0.908000,400.48000000
"WASP-41 c","TIC 398943781","WASP-41",190.6188034,-30.6398176,2015,421.00000000000,13.10000000,1010.69940000,5545.00,0.870000,0.930000,163.37100000
"Kepler-1029 b","TIC 137409907","Kepler-1029",292.1328738,41.5474786,2016,4.41769647900,1.26000000,2.13000000,5030.00,0.770000,0.820000,366.65600000
"Kepler-317 b","TIC 138890353","Kepler-317",294.9438822,39.0320499,2014,5.52424200000,2.09000000,109.80000000,5497.00,0.941000,0.865000,940.58400000
"Kepler-65 c","TIC 121731834","Kepler-65",288.6887221,41.1511076,2012,5.85994400000,2.58000000,5.40000000,6211.00,1.410000,1.250000,303.72800000
"Kepler-416 d","TIC 137217372","Kepler-416",291.5569554,39.2272923,2023,3.07644709000,1.61000000,3.22000000,5670.00,1.022000,0.949000,690.81900000
"K2-367 b","TIC 12821302","K2-367",337.8588454,-13.2644554,2022,20.64509900000,2.41300000,6.41000000,4348.00,0.625000,0.756000,176.96500000
"EPIC 201595106 b","TIC 397052808","EPIC 201595106",183.7203635,1.9681688,2021,0.87724000000,1.56500000,7.67000000,5679.00,0.980000,0.958000,232.10000000
"Kepler-1154 c","TIC 169561256","Kepler-1154",297.4771158,39.8772345,2016,8.45808312000,2.36000000,6.17000000,6327.00,1.430000,1.260000,1460.10000000
"Kepler-863 b","TIC 273500946","Kepler-863",297.6644677,43.2489903,2016,15.59461874000,2.90000000,8.75000000,5678.00,0.950000,0.960000,1499.66000000
"Kepler-1234 b","TIC 399956098","Kepler-1234",287.5220359,51.3759464,2016,11.94014029000,2.81000000,8.30000000,4967.00,0.760000,0.800000,916.74900000
"K2-228 b","TIC 98751904","K2-228",187.2947047,-6.8342028,2018,2.69828000000,1.21000000,1.92000000,4715.00,0.650000,0.710000,129.46000000
"K2-224 b","TIC 32425577","K2-224",189.7041426,-10.0605942,2018,4.47904000000,1.56000000,3.05000000,5620.00,0.840000,0.910000,275.25500000
"K2-229 b","TIC 98720809","K2-229",186.8729195,-6.7218474,2018,0.58421600000,1.00000000,2.55000000,5315.00,0.790000,0.870000,102.56400000
"Kepler-374 d","TIC 270863576","Kepler-374",294.1378921,42.3704075,2014,5.02821900000,1.31000000,2.27000000,5977.00,0.911000,1.033000,1265.61000000
"Kepler-186 b","TIC 268159861","Kepler-186",298.6527360,43.9549884,2014,3.88679070000,1.07000000,1.24000000,3788.00,0.472000,0.478000,177.59400000
"Kepler-150 e","TIC 121598758","Kepler-150",288.2341025,40.5208970,2014,30.82655700000,3.12000000,9.91000000,5560.00,0.939000,0.956000,891.09200000
"K2-183 d","TIC 60256211","K2-183",125.0071770,14.0194586,2018,22.62034400000,2.30000000,5.90000000,5482.00,0.870000,0.942219,329.04100000
"Kepler-301 b","TIC 48419097","Kepler-301",283.9829040,49.2329512,2014,2.50855300000,1.35000000,2.39000000,5815.00,0.900000,1.022000,719.16600000
"HR 8799 d","TIC 245368902","HR 8799",346.8701486,21.1340376,2008,37000.00000000000,13.00000000,3000.00000000,7204.58,1.493380,1.500000,41.24410000
"Kepler-282 e","TIC 164779321","Kepler-282",284.6772402,44.7976401,2013,44.34700000000,3.10000000,56.20000000,5656.00,0.890000,0.970000,1337.61000000
"Kepler-1581 b","TIC 121215710","Kepler-1581",287.3713199,39.6036225,2016,6.28385491000,0.80000000,0.43700000,6022.00,1.230000,1.120000,493.17500000
"Kepler-546 b","TIC 237158650","Kepler-546",283.2575730,40.9904095,2016,4.14702025800,7.00000000,39.10000000,5967.00,1.150000,1.110000,1019.65000000
"TOI-283 b","TIC 382626661","TOI-283",118.5693065,-65.4414820,2025,17.61745000000,2.34000000,6.54000000,5213.00,0.850000,0.800000,82.70130000
"Kepler-1058 b","TIC 271164394","Kepler-1058",294.5956256,45.8750556,2016,110.96546000000,2.72000000,7.85000000,4644.00,0.690000,0.730000,491.99700000
"Kepler-685 b","TIC 138364831","Kepler-685",293.8719143,38.4229184,2016,1.62552220000,10.58000000,78.80000000,5963.00,1.160000,1.110000,938.71500000
"Kepler-589 c","TIC 123129910","Kepler-589",280.6414331,47.7520581,2021,3.52466011000,1.11727238,1.45000000,5372.00,0.916000,0.832000,612.80300000
"HIP 79098 AB b","TIC 48908494","HIP 79098 AB",242.1821202,-23.6855244,2019,,12.10000000,6515.51500000,9193.75,,3.750000,145.79800000
"TOI-849 b","TIC 33595516","TOI-849",28.7157956,-29.4217086,2020,0.76554800000,3.64000000,41.80000000,5257.00,0.970000,0.970000,225.73400000
"WD 1856+534 b","TIC 267574918","WD 1856+534",284.4156750,53.5090244,2020,1.40794050000,10.40000000,4386.05400000,4710.00,0.013100,0.518000,24.73590000
"GJ 3473 b","TIC 452866790","GJ 3473",120.5936065,3.3371629,2020,1.19800350000,1.26400000,1.86000000,3347.00,0.364000,0.360000,27.36440000
"TOI-1442 b","TIC 235683377","TOI-1442",287.2921006,74.1742762,2022,0.40906770000,1.17000000,1.71000000,3330.00,0.310000,0.290000,41.16590000
"GJ 3929 b","TIC 188589164","GJ 3929",239.5775678,35.4081141,2022,2.61623500000,1.09000000,1.75000000,3384.00,0.320000,0.313000,15.80950000
"TOI-500 c","TIC 134200185","TOI-500",106.5590980,-47.5878156,2022,6.63560000000,2.09000000,5.03000000,4440.00,0.678000,0.740000,47.39240000
"EPIC 229004835 b","TIC 94924543","EPIC 229004835",186.4860415,-1.4047214,2023,16.14113200000,2.33200000,10.40000000,5868.00,0.999000,0.970000,121.97100000
"GJ 1061 c","TIC 79611981","GJ 1061",54.0032486,-44.5143104,2020,6.68210000000,1.19000000,1.81000000,2953.00,0.156000,0.120000,3.67278000
"16 Cyg B b","TIC 27533327","16 Cyg B",295.4656422,50.5168243,1996,798.50000000000,13.50000000,565.73740000,5750.00,1.130000,1.080000,21.13970000
"Kepler-1467 b","TIC 271427581","Kepler-1467",295.0485389,45.3426781,2016,47.05690430000,3.30000000,10.90000000,5332.00,0.820000,0.860000,852.88800000
"HD 174205 b","TIC 229752137","HD 174205",280.7932014,70.7928237,2022,582.00000000000,13.00000000,1334.87930940,4308.00,26.600000,1.800000,234.02700000
"Kepler-1952 b","TIC 158635959","Kepler-1952",288.0764082,43.9584839,2021,27.21080017000,1.23923346,2.07000000,5973.00,1.305000,0.922000,852.06200000
"TOI-561 e","TIC 377064495","TOI-561",148.1851516,6.2161030,2020,77.14400000000,2.51700000,12.40000000,5342.00,0.843000,0.806000,85.79900000
"TOI-178 b","TIC 251848941","TOI-178",7.3020115,-30.4541159,2021,1.91456010000,1.20000000,0.96000000,4316.00,0.662000,0.647000,62.69900000
"TOI-178 g","TIC 251848941","TOI-178",7.3020115,-30.4541159,2021,20.71663000000,2.93900000,4.40000000,4316.00,0.662000,0.647000,62.69900000
"TOI-1420 b","TIC 321857016","TOI-1420",322.9418092,66.3490054,2023,6.95610630000,11.89000000,25.10000000,5510.00,0.923000,0.987000,201.91800000
"TOI-2431 b","TIC 258804746","TOI-2431",37.7652989,8.3816255,2026,0.22419578000,1.53400000,6.20000000,4109.00,0.651000,0.661000,36.05590000
"TOI-2076 b","TIC 27491137","TOI-2076",217.3920159,39.7903991,2021,10.35504000000,2.59000000,6.70000000,5187.00,0.758000,0.849000,41.90910000
"TOI-431 c","TIC 31374837","TOI-431",83.2692502,-26.7238698,2021,4.84940000000,1.49000000,2.83000000,4850.00,0.731000,0.780000,32.56860000
"GJ 3090 b","TIC 262530407","GJ 3090",20.4384281,-46.7147234,2022,2.85310198000,2.18000000,4.52000000,3707.00,0.516000,0.519000,22.47510000
"TOI-700 e","TIC 150428135","TOI-700",97.0957165,-65.5786149,2023,27.80978000000,0.95300000,0.81800000,3459.00,0.421000,0.415000,31.12650000
"TOI-1136 e","TIC 142276270","TOI-1136",192.1848981,64.8552755,2022,18.80100000000,2.63900000,6.07000000,5770.00,0.968000,1.022000,84.53620000
"Kepler-602 b","TIC 272180918","Kepler-602",296.0318985,42.1418634,2016,15.28469497000,2.09000000,5.02000000,6062.00,1.130000,1.080000,1159.31000000
